ID date mm Flag
200 1956-05-17  0.04 -999
200 1956-10-04  0.07 -999
200 1956-12-05  0.08 -999
200 1957-01-04  0.10 -999
200 1957-01-05  0.23 -999
200 1957-01-07  0.13 -999
200 1957-01-12  2.29 -999
200 1957-01-13  0.16 -999
200 1957-01-20  0.45 -999
200 1957-01-23  0.39 -999
200 1957-01-24  0.10 -999
200 1957-01-25  0.78 -999
200 1957-01-26  0.03 -999
200 1957-01-27  0.16 -999
200 1957-01-28  0.04 -999
200 1957-01-29  0.26 -999
200 1957-02-07  0.04 -999
200 1957-02-08  0.53 -999
200 1957-02-16  0.02 -999
200 1957-02-22  0.41 -999
200 1957-02-23  0.77 -999
200 1957-02-28  1.14 -999
200 1957-03-08  0.01 -999
200 1957-03-09  0.21 -999
200 1957-03-15  0.08 -999
200 1957-03-18  0.05 -999
200 1957-03-19  0.04 -999
200 1957-04-17  1.10 -999
200 1957-04-18  0.35 -999
200 1957-04-20  0.51 -999
200 1957-04-21  0.15 -999
200 1957-05-08  0.14 -999
200 1957-05-18  0.92 -999
200 1957-05-20  0.02 -999
200 1957-06-09  0.01 -999
200 1957-10-10  0.10 -999
200 1957-10-11  0.04 -999
200 1957-10-13  0.62 -999
200 1957-10-20  0.04 -999
200 1957-10-31  0.04 -999
200 1957-11-02  0.25 -999
200 1957-12-04  0.37 -999
200 1957-12-05  1.26 -999
200 1957-12-15  0.95 -999
200 1957-12-16  1.18 -999
200 1957-12-18  0.05 -999
200 1958-01-10  0.30 -999
200 1958-01-24  0.29 -999
200 1958-01-25  1.98 -999
200 1958-01-26  0.50 -999
200 1958-01-30  0.14 -999
200 1958-02-02  0.45 -999
200 1958-02-03  1.07 -999
200 1958-02-04  0.39 -999
200 1958-02-07  0.13 -999
200 1958-02-08  0.11 -999
200 1958-02-12  0.27 -999
200 1958-02-18  0.38 -999
200 1958-02-19  1.92 -999
200 1958-02-24  1.57 -999
200 1958-02-25  1.08 -999
200 1958-03-06  0.07 -999
200 1958-03-10  0.28 -999
200 1958-03-11  0.15 -999
200 1958-03-12  0.09 -999
200 1958-03-13  0.19 -999
200 1958-03-14  0.35 -999
200 1958-03-15  1.66 -999
200 1958-03-16  0.08 -999
200 1958-03-17  0.07 -999
200 1958-03-20  0.71 -999
200 1958-03-21  0.44 -999
200 1958-03-27  1.08 -999
200 1958-03-30  0.28 -999
200 1958-03-31  0.56 -999
200 1958-04-01  1.12 E
200 1958-04-02  0.39 -999
200 1958-04-03  0.80 -999
200 1958-04-04  0.10 -999
200 1958-04-06  1.48 -999
200 1958-04-07  0.31 -999
200 1958-05-11  0.06 -999
200 1958-05-22  0.41 -999
200 1958-09-07  0.48 -999
200 1958-09-23  0.06 -999
200 1958-11-10  0.01 -999
200 1958-11-15  0.02 -999
200 1958-12-27  0.09 -999
200 1959-01-05  1.10 -999
200 1959-01-06  0.39 -999
200 1959-01-12  0.16 -999
200 1959-01-13  0.01 -999
200 1959-02-07  0.43 -999
200 1959-02-08  0.04 -999
200 1959-02-10  0.91 -999
200 1959-02-11  0.53 -999
200 1959-02-12  0.06 -999
200 1959-02-15  0.32 -999
200 1959-02-16  0.76 -999
200 1959-02-17  0.04 -999
200 1959-02-18  0.05 -999
200 1959-02-20  0.01 -999
200 1959-02-21  1.22 -999
200 1959-04-13  0.01 -999
200 1959-04-25  0.74 -999
200 1959-04-26  0.01 -999
200 1959-09-18  0.02 -999
200 1959-12-20  0.24 -999
200 1959-12-21  0.19 -999
200 1959-12-22  0.01 -999
200 1959-12-23  0.98 -999
200 1960-01-09  0.72 -999
200 1960-01-10  1.10 -999
200 1960-01-11  0.62 -999
200 1960-01-14  0.55 -999
200 1960-01-20  0.28 -999
200 1960-01-21  0.31 -999
200 1960-01-23  0.18 -999
200 1960-01-24  0.22 -999
200 1960-02-01  2.02 -999
200 1960-02-03  0.11 -999
200 1960-02-07  0.02 -999
200 1960-02-08  0.27 -999
200 1960-02-09  0.03 -999
200 1960-02-10  0.29 -999
200 1960-02-18  0.01 -999
200 1960-02-28  0.59 -999
200 1960-02-29  0.33 -999
200 1960-03-01  0.01 -999
200 1960-03-27  0.38 -999
200 1960-03-28  0.04 -999
200 1960-04-23  0.03 -999
200 1960-04-26  1.70 -999
200 1960-04-27  0.48 -999
200 1960-10-06  0.33 -999
200 1960-11-03  0.33 -999
200 1960-11-04  0.82 -999
200 1960-11-05  1.86 -999
200 1960-11-06  0.45 -999
200 1960-11-12  0.65 -999
200 1960-11-13  0.04 -999
200 1960-11-14  0.03 -999
200 1960-11-26  0.90 -999
200 1960-12-01  0.35 -999
200 1960-12-10  0.02 -999
200 1961-01-25  0.52 P
