rhessys_version,tec_file,world_file,world_hdr_prefix,flow_file,start_date,end_date,output_folder,output_filename,command_options,par_dated_id,dated_id,par_id,../defs/veg_decid.def:epc.day_leafon,../defs/veg_decid.def:epc.day_leafoff,../defs/veg_decid.def:epc.ndays_expand,../defs/veg_decid.def:epc.ndays_litfall,../defs/veg_decid.def:group_id,def_id,../defs/stdbasin.def:group_id,../defs/stdhillslope.def:group_id,../defs/stdzone.def:group_id,../defs/shallow_NT.def:group_id,../defs/lu_undev.def:group_id,all_id,hdr_id
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,16,0,16,259.249759430531,123.001398467459,76.6410829732195,59.9373759096488,16,16,0,0,0,0,0,16,16
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,17,0,17,297.774670855142,107.329045934603,101.995830216911,62.5467014824972,17,17,0,0,0,0,0,17,17
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,18,0,18,281.007032084744,125.842606318183,33.9947592909448,81.2460709596053,18,18,0,0,0,0,0,18,18
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,19,0,19,276.042735774536,123.237636052072,38.434984611813,35.4904707474634,19,19,0,0,0,0,0,19,19
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,20,0,20,289.931463776156,113.198841596022,37.465562755242,60.4890456050634,20,20,0,0,0,0,0,20,20
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,21,0,21,277.144512801897,113.833573716693,96.2051127618179,46.9020678754896,21,21,0,0,0,0,0,21,21
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,22,0,22,285.141717118677,140.101400739513,94.8223498393781,66.2285504490137,22,22,0,0,0,0,0,22,22
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,23,0,23,272.132939379662,137.171998391859,62.2824219823815,35.8148805750534,23,23,0,0,0,0,0,23,23
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,24,0,24,289.03713185573,107.381870239042,45.2756371535361,72.9990731365979,24,24,0,0,0,0,0,24,24
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,25,0,25,278.064738225657,111.979660629295,94.4545788760297,72.7483374578878,25,25,0,0,0,0,0,25,25
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,26,0,26,253.724666591734,103.732041162439,49.9695346760564,73.7943681282923,26,26,0,0,0,0,0,26,26
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,27,0,27,281.938297592569,103.306929725222,79.0904275677167,83.0386081477627,27,27,0,0,0,0,0,27,27
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,28,0,28,272.074587002862,92.8218467300758,91.9875891180709,41.946916077286,28,28,0,0,0,0,0,28,28
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,29,0,29,256.763823097572,102.349833729677,112.31269181706,68.1119932886213,29,29,0,0,0,0,0,29,29
